Sample,Name,Conc,Ret.time,Ret.index,Type,m/z,Area,Height,Unit,Group,Date.anal,Notes
MYMA_09F0778_0166_5252020_7,c18.3n6,0.3032,26.541,0,Target,79,45287,9654,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c19.0,22.0646,27.075,0,Target,74,9379410,1336227,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18.3n3,0.6133,27.781,0,Target,79,114173,21989,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c19.1A,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18.4n1,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.0,0.0154,30.691,0,Target,74,5956,1170,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.1n11,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.1n9,0.0281,31.379,0,Target,55,4052,699,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.1n7,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.2n6,0.0702,33.223,0,Target,67,11665,1796,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.3n6,0.1347,34.177,0,Target,79,19065,3514,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.4n6,2.4362,34.736,0,Target,79,381250,67026,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.3n3,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.4n3,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c20.5n3,23.0481,37.231,0,Target,79,3670170,518879,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.0,0.0313,38.511,0,Target,74,9407,1634,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.1,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.1n9c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
