sample,batch,FA,proportion,targetFA,type
HIGR_09F0705_0122,batch_2,17:2,0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:0,0.011235569,standardsplus,core
HIGR_09F0705_0122,batch_2,18:1w9t,0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:1w9c,0.095972649,standardsplus,core
HIGR_09F0705_0122,batch_2,18:1w8c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:1w7c,0.000742431,standardsplus,core
HIGR_09F0705_0122,batch_2,18:1w5c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:1w6c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,"18:2w7,12c",0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:2w6t,0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:2w6c,0.026790666,standardsplus,core
HIGR_09F0705_0122,batch_2,18:2w3,0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:2,0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:3w6,0.004125329,standardsplus,core
HIGR_09F0705_0122,batch_2,18:3w4,0,standardsplus,core
HIGR_09F0705_0122,batch_2,19:0,0.231441212,standardsplus,core
HIGR_09F0705_0122,batch_2,18:3w3,0.075709625,standardsplus,core
HIGR_09F0705_0122,batch_2,18:4w3c,0.128940121,standardsplus,core
HIGR_09F0705_0122,batch_2,18:4w1,0,standardsplus,core
HIGR_09F0705_0122,batch_2,18:5w3,0,standardsplus,core
HIGR_09F0705_0122,batch_2,20:0,0.009982466,standardsplus,core
HIGR_09F0705_0122,batch_2,20:1w11,0,standardsplus,core
HIGR_09F0705_0122,batch_2,20:1w9,0,standardsplus,core
HIGR_09F0705_0122,batch_2,20:1w7,0,standardsplus,core
HIGR_09F0705_0122,batch_2,20:1w5,0,standardsplus,core
HIGR_09F0705_0122,batch_2,20:2w6,0.001872462,standardsplus,core
HIGR_09F0705_0122,batch_2,20:3n7,0,standardsplus,core
HIGR_09F0705_0122,batch_2,20:3w6,0.0041541,standardsplus,core
HIGR_09F0705_0122,batch_2,20:4w6,0.244420576,standardsplus,core
HIGR_09F0705_0122,batch_2,20:3w3,0,standardsplus,core
HIGR_09F0705_0122,batch_2,20:4w3,0,standardsplus,core
HIGR_09F0705_0122,batch_2,20:5w3,0.14024362,standardsplus,core
HIGR_09F0705_0122,batch_2,21:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:1w9c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:1w7c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:2w6,0,standardsplus,core
HIGR_09F0705_0122,batch_2,21:5w3,0,standardsplus,core
HIGR_09F0705_0122,batch_2,23:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:4w6,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:5w6,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:3w6,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:6w4,0,standardsplus,core
HIGR_09F0705_0122,batch_2,22:5w3,0.046562199,standardsplus,core
HIGR_09F0705_0122,batch_2,22:6w3,0,standardsplus,core
HIGR_09F0705_0122,batch_2,24:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,24:1,0,standardsplus,core
HIGR_09F0705_0122,batch_2,24:1w9,0,standardsplus,core
HIGR_09F0705_0122,batch_2,26:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,26:4w2,0,standardsplus,core
HIGR_09F0705_0122,batch_2,27:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,28:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,29:0,0,standardsplus,core
IRCO_11F1005_0072,batch_2,8:0,0.000267239,standardsplus,core
IRCO_11F1005_0072,batch_2,9:0,0.000701143,standardsplus,core
IRCO_11F1005_0072,batch_2,10:0,0.000195401,standardsplus,core
IRCO_11F1005_0072,batch_2,11:0,8.33326E-05,standardsplus,core
IRCO_11F1005_0072,batch_2,11:1,0.000160918,standardsplus,core
IRCO_11F1005_0072,batch_2,12:0,0.001637917,standardsplus,core
IRCO_11F1005_0072,batch_2,13:0,0,standardsplus,core
IRCO_11F1005_0072,batch_2,13:1,0.000586202,standardsplus,core
