sample,batch,FA,proportion
DEME_12F1162_0086,batch_2,20:3n7,0
DEME_12F1162_0086,batch_2,20:3w6,0.00660369546017912
DEME_12F1162_0086,batch_2,20:4w6,0.207467718273786
DEME_12F1162_0086,batch_2,20:3w3,0.00147489008876636
DEME_12F1162_0086,batch_2,20:4w3,0.00998604221016999
DEME_12F1162_0086,batch_2,20:5w3,0.174981274725112
DEME_12F1162_0086,batch_2,21:0,0
DEME_12F1162_0086,batch_2,22:0,0
DEME_12F1162_0086,batch_2,22:1w9c,0
DEME_12F1162_0086,batch_2,22:1w7c,0
DEME_12F1162_0086,batch_2,22:2w6,0
DEME_12F1162_0086,batch_2,21:5w3,0
DEME_12F1162_0086,batch_2,23:0,0
DEME_12F1162_0086,batch_2,22:4w6,0
DEME_12F1162_0086,batch_2,22:5w6,0
DEME_12F1162_0086,batch_2,22:3w6,0
DEME_12F1162_0086,batch_2,22:6w4,0
DEME_12F1162_0086,batch_2,22:5w3,0
DEME_12F1162_0086,batch_2,22:6w3,0
DEME_12F1162_0086,batch_2,24:0,0
DEME_12F1162_0086,batch_2,24:1,0
DEME_12F1162_0086,batch_2,24:1w9,0
DEME_12F1162_0086,batch_2,26:0,0
DEME_12F1162_0086,batch_2,26:4w2,0
DEME_12F1162_0086,batch_2,27:0,0
DEME_12F1162_0086,batch_2,28:0,0
DEME_12F1162_0086,batch_2,29:0,0
DEME_14F1329_0091,batch_2,8:0,5.79290975763303E-05
DEME_14F1329_0091,batch_2,9:0,0.000132608777584371
DEME_14F1329_0091,batch_2,10:0,3.31521943960926E-05
DEME_14F1329_0091,batch_2,11:0,4.25743970139295E-05
DEME_14F1329_0091,batch_2,11:1,0
DEME_14F1329_0091,batch_2,12:0,0.000135749511790316
DEME_14F1329_0091,batch_2,13:0,0
DEME_14F1329_0091,batch_2,13:1,0
DEME_14F1329_0091,batch_2,i-14:0,0
DEME_14F1329_0091,batch_2,14:0,0.0654431296788215
DEME_14F1329_0091,batch_2,14:1,0
DEME_14F1329_0091,batch_2,14:1w5,0
DEME_14F1329_0091,batch_2,i-15:0,0
DEME_14F1329_0091,batch_2,a-15:0,0
DEME_14F1329_0091,batch_2,15:0,0.0011240338752612
