Data Filename,Sample Type,FA,Ret Time,Area,Height,Conc,,,Area %,Height %,,Notes
DEME_14F1312_0088_342020_12.qgd,Unknown,13:0,11.8,3258,1785,0.0053,-----,-----,100,100,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,13:0,11.807,2384,2005,0.0038,-----,-----,100,100,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,13:0,11.79,2155,1438,0.0035,-----,-----,100,100,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,13:0,11.802,3851,2187,0.0062,-----,-----,100,100,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,13:0,11.797,1298,740,0.0021,-----,-----,100,100,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,13:0,11.797,2523,1376,0.0041,-----,-----,100,100,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,13:0,11.792,1277,763,0.0021,-----,-----,100,100,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,13:0,11.795,12683,6813,0.0205,-----,-----,80.3281,80.5034,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,13:0,11.793,2708,1624,0.0044,-----,-----,100,100,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,13:0,11.789,12262,6598,0.0198,-----,-----,100,100,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,13:0,11.793,13531,7402,0.0218,-----,-----,100,100,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,13:0,11.792,6860,3822,0.0111,-----,-----,100,100,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,13:0,11.797,14137,8064,0.0228,-----,-----,100,100,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,13:0,11.8,15448,8530,0.0249,-----,-----,100,100,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,13:0,11.797,17500,10256,0.0282,-----,-----,100,100,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,13:1,12.568,1355,722,0.0058,-----,-----,100,100,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,13:1,12.58,58918,27722,0.2512,-----,-----,91.4918,90.282,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,13:1,12.578,2606,1048,0.0111,-----,-----,35.9994,34.037,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,13:1,12.575,2486,1751,0.0106,-----,-----,100,100,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,13:1,12.584,1510,889,0.0064,-----,-----,100,100,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,13:1,12.577,2888,1362,0.0123,-----,-----,16.5407,21.2912,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,13:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,13:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,13:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,13:1,12.583,2228,923,0.0095,-----,-----,48.3088,46.6869,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,13:1,12.57,635,410,0.0027,-----,-----,100,100,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,13:1,12.575,806,441,0.0034,-----,-----,100,100,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,13:1,12.573,1039,482,0.0044,-----,-----,100,100,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,13:1,12.572,3986,2094,0.017,-----,-----,100,100,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,13:1,12.576,1192,680,0.0051,-----,-----,100,100,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,13:1,12.573,1272,622,0.0054,-----,-----,100,100,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,13:1,12.581,5753,3138,0.0245,-----,-----,100,100,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,13:1,12.585,4474,2196,0.0191,-----,-----,100,100,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,13:1,12.583,9527,4256,0.0406,-----,-----,45.6121,50.8787,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,14:0,13.288,2517042,1110799,3.8897,-----,-----,99.8087,99.8247,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,14:0,13.307,7513796,3151304,11.6114,-----,-----,99.7205,99.7901,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,14:0,13.307,6855334,2882209,10.5939,-----,-----,99.9307,99.9317,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,14:0,13.298,3826378,1684924,5.9131,-----,-----,99.6106,99.6595,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,14:0,13.318,11202246,4399174,17.3114,-----,-----,99.9406,99.9291,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,14:0,13.304,5638216,2432595,8.713,-----,-----,99.7086,99.7385,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,14:0,13.293,2936786,1312121,4.5384,-----,-----,99.883,99.8321,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,14:0,13.299,3206021,1420324,4.9544,-----,-----,99.7289,99.8248,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,14:0,13.295,2077751,955989,3.2108,-----,-----,99.862,99.9201,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,14:0,13.285,164817,75187,0.2547,-----,-----,98.6332,98.5956,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,14:0,13.287,124356,56526,0.1922,-----,-----,99.4776,99.1823,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,14:0,13.287,502166,220489,0.776,-----,-----,99.4252,99.5629,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,14:0,13.29,299289,135124,0.4625,-----,-----,99.269,99.2122,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,14:0,13.288,1591984,718160,2.4602,-----,-----,99.7088,99.7267,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,14:0,13.288,1114328,516584,1.722,-----,-----,99.8545,99.8593,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,14:0,13.285,635343,294963,0.9818,-----,-----,99.5403,99.5568,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,14:0,13.302,4112542,1871375,6.3553,-----,-----,99.618,99.7824,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,14:0,13.303,3124689,1402394,4.8287,-----,-----,99.2758,99.4477,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,14:0,13.297,2998023,1335558,4.633,-----,-----,99.4677,99.5841,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,14:1,13.92,122,175,0.0009,-----,-----,100,100,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,14:1,13.934,5137,1771,0.0394,-----,-----,100,100,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,14:1,13.93,8485,3573,0.0651,-----,-----,100,100,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,14:1,13.934,16605,6626,0.1273,-----,-----,100,100,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,14:1,13.936,3186,1396,0.0244,-----,-----,100,100,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,14:1,13.941,1586,1063,0.0122,-----,-----,100,100,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,14:1,13.936,2331,1064,0.0179,-----,-----,100,100,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,14:1,13.925,35,91,0.0003,-----,-----,100,100,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,14:1,13.923,6,31,0,-----,-----,100,100,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,14:1,-----,-----,-----,-----,-----,-----,-----,-----,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,14:1,13.954,1429,679,0.011,-----,-----,100,100,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,15:0,15.148,129295,47305,0.2116,-----,-----,95.1489,95.5695,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,15:0,15.156,266009,96752,0.4354,-----,-----,96.6968,96.0546,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,15:0,15.155,108646,40091,0.1778,-----,-----,92.0495,91.3984,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,15:0,15.155,236018,88516,0.3863,-----,-----,95.3261,95.5742,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,15:0,15.158,183414,67604,0.3002,-----,-----,95.4391,95.0589,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,15:0,15.161,188851,66885,0.3091,-----,-----,94.0863,94.5999,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,15:0,15.153,218265,80491,0.3572,-----,-----,96.9166,97.2689,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,15:0,15.158,220999,80843,0.3617,-----,-----,96.2904,96.2875,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,15:0,15.158,156542,58043,0.2562,-----,-----,94.3109,94.2593,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,15:0,15.147,22465,7819,0.0368,-----,-----,91.8927,91.8801,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,15:0,15.15,16360,5721,0.0268,-----,-----,85.9515,83.3479,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,15:0,15.152,64043,23333,0.1048,-----,-----,93.1467,92.768,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,15:0,15.158,34213,12637,0.056,-----,-----,87.915,88.9241,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,15:0,15.151,251050,92841,0.4109,-----,-----,96.898,97.1537,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,15:0,15.152,263176,100630,0.4308,-----,-----,97.1875,97.2327,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,15:0,15.15,129870,49051,0.2126,-----,-----,96.5311,96.9771,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,15:0,15.161,183813,67178,0.3009,-----,-----,95.5359,95.87,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,15:0,15.164,165627,60356,0.2711,-----,-----,88.7704,90.9757,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,15:0,15.16,203177,72879,0.3325,-----,-----,90.9888,91.9365,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,16:0,17.516,11727741,2990035,19.5831,-----,-----,99.9739,99.9558,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,16:0,17.537,15079200,3472172,25.1794,-----,-----,99.9933,99.9834,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,16:0,17.516,9752984,2574965,16.2856,-----,-----,99.969,99.9483,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,16:0,17.527,13072579,3201593,21.8287,-----,-----,99.9839,99.959,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,16:0,17.551,18827390,4081383,31.4381,-----,-----,99.9759,99.9545,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,16:0,17.55,18281748,4025419,30.527,-----,-----,99.9564,99.945,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,16:0,17.52,11315709,2870593,18.8951,-----,-----,99.9853,99.9705,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,16:0,17.52,10250821,2665768,17.1169,-----,-----,99.9564,99.9323,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,16:0,17.514,9000586,2410284,15.0293,-----,-----,99.9582,99.9235,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,16:0,17.472,2419361,725054,4.0399,-----,-----,99.8901,99.8236,1,
