,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
Minimum,"4,923",0,"144,543",0.48,868,0.1,"16,461",0.24,"2,697,768",6.29,"49,464",0.41,613,0,878,0,"1,652",0.22,747,0,"3,781",0.02,"3,973",0.02,"2,101",0.01,"144,918",0.65,"44,889",0.7,"4,015",0.23,"18,464",0.09,"13,009",0.45,"1,425",0.31,"6,449,861",13.42,329,0.16,412,0,,,"3,897",0.37,"67,961",0.91,755,0,"607,521",3.55,"1,690",0.12,"1,025",0.48,826,0.85
Std. Dev.,"6,536.74",0.013355,"1,008,492.74",2.117942,"14,930.49",0.07597,"50,906.43",0.108843,"2,340,047.95",5.18082,"327,972.42",1.996275,"15,541.42",0.078334,"56,499.24",0.283333,"21,468.61",0.047004,"159,979.98",0.706959,"1,431,694.66",6.314464,"1,940.86",0.008944,"106,195.80",0.468529,"130,026.32",0.297226,"579,988.15",3.598199,"281,421.12",1.443808,"4,400.07",0.023875,"348,135.95",1.744814,"34,959.41",0.205967,"912,763.16",1.86977,"880,785.68",3.889487,"1,024,435.06",4.523156,,,"240,342.48",0.564701,"1,990,795.20",10.927071,"63,470.55",0.323475,"1,375,139.60",7.024661,"3,420.35",0.0105,"419,942.94",3.673776,"75,022.71",0.658189
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,,,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
batch 10,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,,,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
CYJA_12F1097_0224_12162020_19.qgd,"14,279",-0.38,"1,379,753",2.89,"11,583",0.15,"120,564",0.39,"6,746,813",14.76,"65,407",0.45,-----,-----,"53,922",0.27,"86,209",0.32,"5,284",0.02,-----,-----,-----,-----,"14,007",0.06,"851,822",2.02,"1,100,919",8.03,"6,970",0.28,"6,851",0.04,"1,219,780",6.61,"70,803",0.76,"11,689,345",21.64,"2,078,759",8.58,"1,588,212",6.47,,,"175,483",0.81,"3,564,784",20.57,"16,828",0.09,"2,360,372",12.36,"106,856",0.41,"45,585",0.81,-----,-----
CYJA_14F1354_0213_12162020_7.qgd,"15,593",-0.38,"1,528,418",3.21,"13,450",0.16,"108,558",0.36,"7,239,828",15.83,"66,535",0.45,-----,-----,"75,579",0.38,"76,907",0.3,-----,-----,-----,-----,-----,-----,"4,359",0.02,"819,583",1.96,"980,596",7.19,"7,183",0.28,"7,119",0.04,"1,072,409",5.86,"81,743",0.82,"12,210,237",22.59,"2,047,456",8.46,"2,540,517",10.34,,,"150,254",0.75,"3,371,789",19.49,"35,334",0.18,"3,018,866",15.71,"75,386",0.33,"28,236",0.67,-----,-----
DEAN_07F0574_0215_12162020_9.qgd,"28,428",-0.35,"6,405,996",13.85,"58,835",0.39,"129,410",0.4,"7,376,854",16.12,"96,338",0.62,"11,052",0.06,"140,499",0.71,"55,402",0.26,"15,369",0.06,-----,-----,-----,-----,"28,645",0.12,"1,079,726",2.47,"2,634,915",18.78,"12,272",0.31,"58,560",0.31,"2,148,893",11.31,"329,760",2.15,"12,339,659",22.83,"2,688,258",11.07,"4,846,732",19.73,,,"495,988",1.48,"6,185,733",35.2,"211,259",1.07,"6,025,318",30.97,"10,197",0.18,307,0.45,"5,692",1.29
DEAP_08F0689_0214_12162020_8.qgd,"29,642",-0.35,"4,843,252",10.44,"69,659",0.44,"173,720",0.49,"9,906,758",21.6,"184,222",1.13,"20,495",0.1,"206,577",1.05,"112,440",0.37,"106,098",0.43,-----,-----,-----,-----,"285,601",1.16,"1,385,799",3.06,"2,534,667",18.08,"40,034",0.46,"90,030",0.47,"1,959,366",10.35,"208,783",1.5,"13,242,284",24.48,"4,363,940",17.89,"5,633,573",22.94,,,"988,926",2.51,"7,188,685",40.79,"538,082",2.73,"6,164,556",31.68,"22,541",0.21,"7,032",0.5,"10,589",1.33
GISK_12F1104_0216_12162020_10.qgd,"19,006",-0.37,"221,690",0.37,"3,354",0.11,"48,022",0.24,"3,288,314",7.27,"2,779",0.08,-----,-----,"1,300",0.01,"21,531",0.2,-----,-----,-----,-----,-----,-----,-----,-----,"630,203",1.59,"189,473",1.65,"29,349",0.4,-----,-----,"12,612",0.5,"5,375",0.41,"11,866,461",21.96,"3,711",0.14,699,0,,,"12,427",0.47,"876,433",5.57,-----,-----,"1,012,691",5.52,-----,-----,892,0.45,262,1.24
HYSP_05F0293_0217_12162020_11.qgd,"42,245",-0.32,"893,416",1.83,-----,-----,"356,166",0.86,"10,676,787",23.27,"75,537",0.5,-----,-----,"5,154",0.03,"132,198",0.4,"6,376",0.03,-----,-----,-----,-----,"6,585",0.03,"817,558",1.96,"453,650",3.5,"232,196",1.47,-----,-----,"747,495",4.22,"103,851",0.94,"11,071,008",20.51,"11,413",0.17,"3,546",0.01,,,"14,779",0.47,"2,324,582",13.65,-----,-----,"5,584,816",28.74,-----,-----,"3,810",0.48,"2,547",1.26
LAAN_14F1343_0218_12162020_12.qgd,"33,632",-0.34,"966,073",1.99,-----,-----,"44,857",0.23,"6,030,033",13.21,"91,546",0.6,"67,743",0.34,"267,749",1.36,"13,848",0.18,"960,219",3.91,"2,060,167",8.36,"87,663",0.36,"594,023",2.42,"500,049",1.34,"112,769",1.11,"603,768",3.43,-----,-----,"650,029",3.72,"50,283",0.65,"11,469,069",21.24,"3,118,786",12.82,"253,555",1.03,,,"14,303",0.47,"372,455",2.75,"19,194",0.1,"3,379,167",17.54,-----,-----,"21,097",0.62,"47,068",1.62
MYSM_12F1195_0219_12162020_13.qgd,"62,854",-0.27,"740,201",1.5,-----,-----,"136,562",0.42,"8,128,997",17.75,"88,873",0.58,"2,798",0.01,"8,848",0.04,"47,754",0.24,"32,159",0.13,-----,-----,-----,-----,"23,850",0.1,"694,656",1.72,"145,417",1.34,"959,537",5.3,-----,-----,"208,632",1.49,"50,396",0.65,"11,378,186",21.07,"19,935",0.2,"15,943",0.06,,,"16,916",0.48,"2,414,779",14.15,"4,124",0.02,"4,758,779",24.54,"17,401",0.2,"12,418",0.55,"30,050",1.48
PADE_12F1180_0220_12162020_14.qgd,"41,973",-0.32,"3,086,853",6.61,-----,-----,"285,445",0.72,"5,983,668",13.11,"45,421",0.33,"30,342",0.15,"204,616",1.04,"34,422",0.22,"229,084",0.93,-----,-----,-----,-----,"592,888",2.41,"848,411",2.02,"447,525",3.45,"330,568",1.99,-----,-----,"52,649",0.7,"27,456",0.53,"10,782,436",19.98,"79,044",0.44,"281,631",1.15,,,"27,846",0.5,"119,291",1.34,"33,574",0.17,"8,034,164",41.17,"24,692",0.21,"19,668",0.6,"24,408",1.44
POPL_15F1420_0221_12162020_15.qgd,"15,227",-0.38,"95,114",0.09,-----,-----,"34,247",0.21,"7,389,322",16.15,"38,436",0.29,-----,-----,"1,940",0.01,"17,185",0.19,"1,733",0.01,-----,-----,-----,-----,-----,-----,"672,402",1.67,"199,470",1.72,"150,510",1.04,-----,-----,"541,531",3.18,"33,198",0.56,"11,382,062",21.08,"47,398",0.31,"33,343",0.14,,,"16,993",0.48,"860,625",5.48,"76,684",0.39,"6,669,352",34.24,-----,-----,"16,425",0.58,"4,238",1.28
RHLA_11F1043_0222_12162020_16.qgd,"15,903",-0.38,"380,896",0.71,-----,-----,"63,499",0.27,"4,029,925",8.88,"26,944",0.22,-----,-----,"1,442",0.01,"25,622",0.2,"4,120",0.02,-----,-----,-----,-----,-----,-----,"668,396",1.67,"97,825",1,"647,264",3.66,-----,-----,"146,197",1.17,"35,611",0.58,"12,350,163",22.85,"20,103",0.2,"11,832",0.05,,,"14,547",0.47,"263,355",2.14,-----,-----,"2,112,125",11.1,"12,212",0.18,"2,639",0.47,803,1.25
TRAN_11F1023_0223_12162020_18.qgd,"36,892",-0.33,"763,027",1.55,-----,-----,"116,227",0.38,"6,441,085",14.1,"8,639",0.12,-----,-----,"11,157",0.06,"41,571",0.23,"35,143",0.14,-----,-----,-----,-----,"38,586",0.16,"779,256",1.88,"114,305",1.12,"17,976",0.34,-----,-----,"30,251",0.59,"11,215",0.44,"11,846,866",21.93,"9,180",0.16,"10,875",0.04,,,"16,475",0.47,"3,038,447",17.63,-----,-----,"756,083",4.22,-----,-----,-----,-----,"6,164",1.29
Average,"29,640",0.35,"1,775,391",3.75,"31,376",0.25,"134,773",0.41,"6,936,532",15.17,"65,890",0.45,"26,486",0.13,"81,565",0.41,"55,424",0.26,"126,918",0.52,-----,-----,-----,-----,"176,505",0.72,"812,322",1.95,"750,961",5.58,"253,136",1.58,"40,640",0.22,"732,487",4.14,"84,040",0.83,"11,802,315",21.85,"1,207,332",5.04,"1,268,372",5.16,,,"162,078",0.78,"2,548,413",14.9,"116,885",0.59,"4,156,357",21.48,"38,469",0.25,"13,199",0.55,"13,182",1.35
%RSD,50.114533,9.7491,112.013278,115.500239,97.167219,61.122827,72.594575,47.720719,30.269384,29.962416,74.012252,62.91081,95.370395,96.334329,119.778561,119.690285,69.823579,28.088448,224.404843,224.571533,-----,-----,-----,-----,142.865865,142.313678,28.491828,23.122491,122.519316,115.509895,126.288018,106.653978,100.714161,98.775631,100.82442,90.243738,112.546952,60.895365,5.649345,5.581112,129.834009,126.730004,159.543377,159.577222,,,182.699296,79.442051,90.323817,86.235458,156.353039,156.049529,57.132998,56.124151,97.354644,36.161981,104.997043,19.978565,118.177764,9.270854
Maximum,"62,854",0.38,"6,405,996",13.85,"69,659",0.44,"356,166",0.86,"10,676,787",23.27,"184,222",1.13,"67,743",0.34,"267,749",1.36,"132,198",0.4,"960,219",3.91,"2,060,167",8.36,"87,663",0.36,"594,023",2.42,"1,385,799",3.06,"2,634,915",18.78,"959,537",5.3,"90,030",0.47,"2,148,893",11.31,"329,760",2.15,"13,242,284",24.48,"4,363,940",17.89,"5,633,573",22.94,,,"988,926",2.51,"7,188,685",40.79,"538,082",2.73,"8,034,164",41.17,"106,856",0.41,"45,585",0.81,"47,068",1.62
Minimum,"14,279",0.27,"95,114",0.09,"3,354",0.11,"34,247",0.21,"3,288,314",7.27,"2,779",0.08,"2,798",0.01,"1,300",0.01,"13,848",0.18,508,0,"2,060,167",8.36,"87,663",0.36,"4,359",0.02,"500,049",1.34,"97,825",1,"6,970",0.28,"6,851",0.04,"12,612",0.5,"5,375",0.41,"10,782,436",19.98,"3,711",0.14,699,0,,,"12,427",0.47,"119,291",1.34,"4,124",0.02,"756,083",4.22,"10,197",0.18,276,0.45,262,1.24
Std. Dev.,"14,853.70",0.033878,"1,988,673.38",4.335109,"30,487.38",0.152807,"97,837.95",0.197643,"2,099,645.50",4.545548,"48,766.49",0.281526,"25,259.80",0.127161,"97,697.68",0.495717,"38,699.08",0.072796,"284,809.12",1.159606,-----,-----,-----,-----,"252,165.24",1.024658,"231,445.32",0.450118,"920,072.18",6.446415,"319,679.91",1.685133,"40,930.24",0.212368,"738,525.77",3.737595,"94,583.90",0.506954,"666,753.52",1.219287,"1,567,527.43",6.382968,"2,023,602.73",8.239504,,,"296,115.52",0.619648,"2,301,824.04",12.846209,"182,753.05",0.926544,"2,374,651.60",12.056871,"37,451.64",0.088855,"13,858.30",0.110382,"15,578.31",0.124971
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,,,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
batch 11,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,,,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
ADUT_15F1491_0225_12172020_7.qgd,"15,075",-0.49,"1,605,017",2.82,"3,760",0.08,"62,450",0.16,"2,747,454",5.2,"30,959",0.26,-----,-----,"25,586",0.11,"16,781",0.26,"3,111",0.01,-----,-----,-----,-----,-----,-----,"566,717",1.24,"294,414",1.84,"7,326",0.2,-----,-----,"919,651",4.36,"7,196",0.32,"11,235,737",18.96,"568,215",2.13,"804,482",2.82,,,"50,333",0.37,"544,645",3.08,"8,224",0.04,"964,475",4.68,"24,914",0.19,-----,-----,561,0.89
ASCR_14F1383_0251_12172020_22.qgd,"19,698",-0.48,"1,067,075",1.8,"3,450",0.08,"113,821",0.25,"4,833,974",9.14,"262,007",1.36,-----,-----,"10,074",0.04,"20,397",0.26,"2,635",0.01,-----,-----,-----,-----,-----,-----,"162,936",0.56,"86,517",0.62,"15,089",0.23,-----,-----,"9,897",0.32,"2,176",0.3,"9,380,992",15.86,"10,416",0.17,-----,-----,,,"4,460",0.29,"3,579,436",17.72,-----,-----,"1,404,525",6.57,"5,043",0.15,-----,-----,-----,-----
ASMI_XXF0834_0249_12172020_21.qgd,"57,418",-0.4,"13,024,881",24.55,"24,599",0.17,"437,218",0.82,"13,006,145",24.56,"293,002",1.51,"17,109",0.08,"219,440",0.97,"195,811",0.56,"25,204",0.09,-----,-----,-----,-----,"58,695",0.21,"425,052",1,"11,962,420",69.8,"74,138",0.49,-----,-----,"3,350,629",15.16,"330,485",1.88,"11,448,250",19.31,"4,001,745",14.18,"5,784,347",20.31,,,"155,277",0.56,"5,430,340",26.64,"494,095",2.12,"8,957,179",38.96,"202,146",0.54,"4,466",0.44,-----,-----
CYOB_12F1101_0238_12172020_14.qgd,"18,160",-0.49,"255,098",0.25,-----,-----,"242,408",0.48,"8,708,111",16.45,"221,180",1.16,"7,374",0.03,"18,181",0.08,"56,906",0.32,"21,037",0.07,-----,-----,-----,-----,"26,239",0.09,"900,468",1.8,"450,610",2.75,"271,702",1.35,"24,221",0.11,"41,763",0.46,"142,055",0.97,"10,128,037",17.11,"5,028",0.15,"47,942",0.17,,,"45,430",0.36,"986,212",5.21,-----,-----,"2,638,028",11.86,"3,675",0.14,"2,157",0.43,-----,-----
DEAN_12F1198_0253_12172020_23.qgd,"8,898",-0.51,"4,753,106",8.81,"14,889",0.13,"95,353",0.22,"5,903,872",11.16,"374,196",1.89,"4,654",0.02,"195,316",0.87,"32,524",0.28,"15,087",0.05,-----,-----,-----,-----,"18,558",0.07,"572,304",1.25,"1,953,258",11.5,"17,987",0.24,"27,469",0.12,"1,135,553",5.32,"103,495",0.79,"9,989,177",16.88,"1,649,120",5.92,"4,606,090",16.17,,,"353,586",0.92,"3,794,350",18.75,"95,795",0.41,"4,676,307",20.6,"5,404",0.15,-----,-----,-----,-----
DEAP_07F0545_0227_12172020_8.qgd,"41,149",-0.44,"4,575,828",8.47,"8,694",0.1,"245,432",0.49,"9,562,898",18.06,"302,098",1.55,"15,953",0.07,"180,632",0.8,"120,854",0.43,"195,269",0.69,-----,-----,-----,-----,"166,372",0.58,"1,256,635",2.4,"2,119,828",12.47,"66,002",0.45,"58,565",0.25,"2,203,689",10.06,"298,631",1.73,"10,682,504",18.03,"3,566,487",12.65,"5,276,017",18.53,,,"630,377",1.43,"6,553,926",32.05,"441,825",1.89,"6,046,049",26.47,"12,406",0.16,-----,-----,"230,360",2.46
DEAP_12F1092_0240_12172020_15.qgd,"14,635",-0.49,"1,357,492",2.35,"22,562",0.16,"110,209",0.25,"5,418,255",10.24,"1,132,432",5.51,"88,081",0.39,"100,771",0.45,"54,269",0.32,"156,675",0.55,-----,-----,-----,-----,"587,562",2.06,"859,471",1.73,"820,834",4.9,"66,156",0.45,"27,020",0.12,"226,847",1.28,"39,597",0.48,"10,395,153",17.55,"1,406,951",5.07,"1,972,334",6.93,,,"595,351",1.36,"3,071,343",15.27,"119,865",0.51,"2,612,402",11.75,"12,005",0.16,"954,399",6.93,"1,767",0.9
GECO_12F1079_0229_12172020_9.qgd,"40,092",-0.44,"732,954",1.16,-----,-----,"80,141",0.19,"5,541,619",10.48,"451,339",2.26,"7,362",0.03,"27,248",0.12,"17,622",0.26,"35,304",0.12,-----,-----,-----,-----,"12,122",0.04,"608,698",1.31,"203,920",1.31,"128,899",0.72,"3,441",0.01,"192,437",1.13,"11,466",0.34,"10,822,269",18.27,"35,189",0.25,"9,481",0.03,,,"10,163",0.3,"2,318,373",11.64,609,0,"2,016,349",9.19,-----,-----,"3,839",0.44,"22,592",1.04
GISK_12F1169_0255_12172020_24.qgd,"16,749",-0.49,"613,244",0.93,"1,463",0.07,"88,116",0.21,"6,552,924",12.38,"73,661",0.46,-----,-----,"2,347",0.01,"25,014",0.27,"1,600",0.01,-----,-----,-----,-----,-----,-----,"175,017",0.58,"93,238",0.66,"6,910",0.19,-----,-----,"19,835",0.36,"3,754",0.3,"9,385,154",15.87,"6,802",0.15,-----,-----,,,"2,205",0.28,"2,518,183",12.6,-----,-----,"482,239",2.61,-----,-----,-----,-----,-----,-----
GYAN_12F1206_0242_12172020_16.qgd,"11,071",-0.5,"209,097",0.17,-----,-----,"65,636",0.17,"2,598,420",4.92,"94,727",0.56,991,0,"2,567",0.01,"13,990",0.25,"2,332",0.01,-----,-----,-----,-----,"1,917",0.01,"263,089",0.73,"115,260",0.79,"12,802",0.22,-----,-----,"35,164",0.43,"1,993",0.3,"8,631,316",14.61,"10,041",0.17,"6,609",0.02,,,"5,634",0.29,"872,235",4.66,-----,-----,"653,060",3.34,-----,-----,-----,-----,"4,229",0.92
GYAN_14F1388_0257_12172020_25.qgd,"9,233",-0.51,"452,799",0.63,-----,-----,"102,662",0.23,"4,783,953",9.05,"229,907",1.21,"1,883",0.01,"3,542",0.02,"14,717",0.25,"2,493",0.01,-----,-----,-----,-----,"1,822",0.01,"156,406",0.55,"255,345",1.61,"30,171",0.3,-----,-----,"67,372",0.57,"2,645",0.3,"9,063,651",15.33,"10,067",0.17,"4,264",0.01,,,"3,246",0.28,"1,719,508",8.75,-----,-----,"1,356,890",6.36,-----,-----,"2,419",0.43,"4,050",0.91
HYSP_05F0292_0231_12172020_10.qgd,"55,343",-0.41,"970,969",1.61,-----,-----,"356,114",0.68,"12,036,964",22.73,"187,826",1.01,"4,883",0.02,"15,914",0.07,"118,855",0.43,"45,522",0.16,-----,-----,-----,-----,"25,655",0.09,"1,126,503",2.18,"428,625",2.62,"215,153",1.1,-----,-----,"745,160",3.58,"69,926",0.62,"11,683,009",19.7,"11,553",0.17,"7,235",0.03,,,"15,456",0.31,"2,119,361",10.68,-----,-----,"5,584,320",24.49,-----,-----,"3,193",0.43,"10,875",0.96
HYSP_08F0700_0248_12172020_20.qgd,"25,499",-0.47,"797,174",1.28,-----,-----,"220,964",0.44,"10,573,252",19.97,"344,428",1.75,"3,338",0.01,"34,716",0.15,"79,006",0.36,"61,322",0.22,-----,-----,-----,-----,"64,868",0.23,"644,044",1.37,"252,538",1.59,"286,921",1.41,-----,-----,"661,391",3.21,"22,688",0.4,"9,740,143",16.46,"18,595",0.2,"12,230",0.04,,,"7,876",0.29,"1,783,127",9.06,"3,310",0.01,"5,601,654",24.57,-----,-----,"4,252",0.44,"19,069",1.02
LAAN_14F1209_0244_12172020_18.qgd,"37,670",-0.45,"708,660",1.12,-----,-----,"40,902",0.13,"5,519,580",10.43,"707,610",3.48,"34,019",0.15,"154,316",0.69,"13,078",0.25,"655,474",2.3,"2,575,317",0,"20,698",0,"286,843",1.01,"420,040",0.99,"124,142",0.84,"703,914",3.23,-----,-----,"634,639",3.09,"18,810",0.38,"10,688,281",18.04,"3,743,806",13.28,"101,247",0.36,,,"10,078",0.3,"273,901",1.78,"13,125",0.06,"2,074,304",9.44,-----,-----,"30,316",0.62,"42,538",1.18
PAPL_12F1081_0233_12172020_11.qgd,"342,889",0.2,"235,874",0.22,-----,-----,"65,911",0.17,"5,455,572",10.31,"512,527",2.55,"4,058",0.02,"10,164",0.05,"26,010",0.27,"26,387",0.09,-----,-----,-----,-----,"15,260",0.05,"523,941",1.17,"334,977",2.07,"406,126",1.93,-----,-----,"116,382",0.79,"2,399",0.3,"10,632,980",17.95,"10,563",0.17,"8,706",0.03,,,"10,296",0.3,"866,657",4.64,-----,-----,"2,392,830",10.8,-----,-----,"11,724",0.49,"22,442",1.04
PASA_12F1185_0259_12172020_26.qgd,"44,935",-0.43,"677,780",1.06,-----,-----,"119,648",0.26,"7,115,671",13.44,"779,901",3.83,-----,-----,"12,656",0.06,"34,262",0.29,"28,466",0.1,-----,-----,"13,940",0,"17,794",0.06,"410,204",0.97,"324,992",2.01,"183,823",0.96,"1,544",0.01,"29,079",0.4,"21,794",0.39,"9,971,076",16.85,"16,041",0.19,"14,791",0.05,,,"5,930",0.29,"3,137,991",15.59,"2,675",0.01,"757,625",3.79,"3,524",0.14,"14,477",0.51,"31,568",1.1
PIPL_11F1044_0246_12172020_19.qgd,"20,163",-0.48,"670,994",1.04,-----,-----,"139,226",0.3,"9,317,426",17.6,"529,026",2.63,"20,598",0.09,"78,134",0.35,"22,333",0.27,"279,935",0.98,-----,-----,-----,-----,"221,641",0.78,"562,036",1.23,"534,164",3.23,"1,205,429",5.41,"2,270",0.01,"97,023",0.7,"29,250",0.43,"11,057,266",18.66,"13,562",0.18,"19,813",0.07,,,"9,728",0.3,"1,044,601",5.49,"4,840",0.02,"3,909,774",17.31,-----,-----,"5,280",0.45,"22,536",1.04
RHLA_11F1048_0235_12172020_12.qgd,"18,751",-0.49,"489,736",0.7,-----,-----,"75,738",0.19,"4,754,564",8.99,"118,008",0.67,-----,-----,"2,852",0.01,-----,-----,"4,483",0.02,-----,-----,-----,-----,-----,-----,"618,638",1.33,"182,072",1.18,"681,583",3.13,-----,-----,"169,983",1.03,"40,709",0.48,"10,628,506",17.94,"10,587",0.17,"6,834",0.02,,,"10,160",0.3,"399,035",2.38,"6,351",0.03,"2,889,807",12.94,"12,686",0.16,"4,037",0.44,"6,577",0.93
Average,"44,302",0.45,"1,844,321",3.28,"11,345",0.11,"147,886",0.31,"6,912,814",13.06,"369,157",1.87,"16,177",0.07,"60,803",0.27,"50,731",0.31,"86,796",0.3,"663,927",0,"10,176",0,"107,525",0.38,"569,567",1.24,"1,140,953",6.77,"243,341",1.22,"20,647",0.09,"592,027",2.9,"63,837",0.6,"10,309,083",17.41,"838,598",3.08,"1,167,651",4.1,,,"106,977",0.47,"2,278,512",11.44,"108,247",0.46,"3,056,545",13.65,"31,311",0.2,"69,476",0.89,"32,243",1.11
%RSD,171.802179,15.745459,167.387919,179.289318,83.510272,36.070397,74.203512,61.545483,43.206588,43.147958,76.488296,71.998507,145.749794,148.25306,123.616857,123.669388,100.234536,27.412513,186.408237,186.107944,191.994405,0,79.415086,0,153.143115,152.836499,54.560592,42.022197,242.254168,237.954216,133.01198,115.213025,99.580035,98.340134,150.265156,136.153708,155.014125,80.234953,8.15618,8.058183,171.385936,164.028938,178.617084,178.659344,,,189.748863,77.921684,76.709365,73.634824,168.912968,168.964483,75.505042,72.505857,205.739735,64.753279,352.537341,188.811135,188.739145,37.554543
Maximum,"342,889",0.51,"13,024,881",24.55,"24,599",0.17,"437,218",0.82,"13,006,145",24.56,"1,132,432",5.51,"88,081",0.39,"219,440",0.97,"195,811",0.56,"655,474",2.3,"2,575,317",0,"20,698",0,"587,562",2.06,"1,256,635",2.4,"11,962,420",69.8,"1,205,429",5.41,"58,565",0.25,"3,350,629",15.16,"330,485",1.88,"11,683,009",19.7,"4,001,745",14.18,"5,784,347",20.31,,,"630,377",1.43,"6,553,926",32.05,"494,095",2.12,"8,957,179",38.96,"202,146",0.54,"954,399",6.93,"230,360",2.46
Minimum,"8,898",0.2,"209,097",0.17,"1,463",0.07,"40,902",0.13,"2,598,420",4.92,"30,959",0.26,991,0,"2,347",0.01,"13,078",0.25,"1,600",0.01,437,0,"1,706",0,"1,822",0.01,"156,406",0.55,"86,517",0.62,"6,910",0.19,"1,544",0.01,"9,897",0.32,"1,993",0.3,"8,631,316",14.61,"5,028",0.15,"4,264",0.01,,,"2,205",0.28,"273,901",1.78,609,0,"482,239",2.61,"3,524",0.14,236,0.41,561,0.89
Std. Dev.,"76,111.04",0.071467,"3,087,170.55",5.873717,"9,474.48",0.040708,"109,736.65",0.192843,"2,986,791.10",5.635842,"282,362.24",1.345972,"23,578.17",0.104918,"75,162.90",0.333907,"50,850.10",0.085946,"161,795.72",0.567629,"1,274,702.70",0,"8,081.60",0,"164,666.92",0.577504,"310,758.91",0.522709,"2,764,006.20",16.100247,"323,672.16",1.408799,"20,560.43",0.088506,"889,610.96",3.95224,"98,956.63",0.477398,"840,827.39",1.40293,"1,437,239.41",5.045712,"2,085,624.84",7.323917,,,"202,987.64",0.369262,"1,747,832.42",8.426687,"182,842.76",0.783381,"2,307,845.87",9.898258,"64,420.08",0.128787,"244,928.37",1.672867,"60,855.89",0.4157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
