,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
ANTSEA_033_LAAN.qgd,"218,403",0.5,"680,515",1.57,590,0.09,"50,863",0.33,"2,551,277",5.82,"55,231",0.4,-----,-----,"5,784",0.03,"8,983",0.25,"2,438",0.01,,,,,"7,811",0.03,"101,915",0.56,"140,633",1.2,"53,616",0.45,-----,-----,"80,098",0.78,-----,-----,"9,662,180",19.67,"9,023",0.2,"4,362",0.02,,,"3,098",0.36,"341,018",2.19,-----,-----,"640,419",3.3,-----,-----,-----,-----,-----,-----
ANTSEA_034_LAAN.qgd,"103,012",0.24,"372,052",0.94,-----,-----,"35,448",0.3,"1,854,697",4.33,"90,011",0.59,-----,-----,"9,084",0.04,"7,814",0.25,"7,974",0.03,,,,,"9,404",0.04,"118,112",0.59,"90,806",0.93,"69,052",0.52,-----,-----,"56,877",0.67,-----,-----,"9,776,215",19.9,"4,694",0.18,"2,705",0.01,,,"4,049",0.36,"194,726",1.5,-----,-----,"420,477",2.33,-----,-----,-----,-----,-----,-----
ANTSEA_055A_BEDI.qgd,"1,510",0.02,"1,096,672",2.43,-----,-----,"30,234",0.29,"3,405,889",7.65,"1,557,739",8.51,"31,829",0.14,"815,127",3.69,-----,-----,"2,950,554",11.43,,,,,"7,745",0.03,"144,823",0.65,"13,427",0.51,"14,330",0.27,-----,-----,"18,451",0.5,"3,308",0.37,"11,180,949",22.73,-----,-----,"13,786",0.05,"2,641,975",0,"5,715",0.37,"78,495",0.95,-----,-----,"701,673",3.57,-----,-----,"1,933",0.53,"304,055",2.98
ANTSEA_055B_BEDI.qgd,"1,216",0.02,"1,045,082",2.32,-----,-----,"29,182",0.29,"3,325,326",7.48,"1,613,079",8.81,"27,992",0.13,"872,637",3.95,-----,-----,"2,734,437",10.59,,,,,"4,086",0.02,"94,584",0.54,"12,922",0.5,"10,793",0.26,-----,-----,"18,271",0.5,"3,126",0.37,"11,844,950",24.06,-----,-----,"9,522",0.04,"1,983,047",0,"4,864",0.37,"81,175",0.97,-----,-----,"593,051",3.09,-----,-----,-----,-----,"286,304",2.86
ANTSEA_056_BEDI.qgd,"1,566",0.02,"901,662",2.03,-----,-----,"25,851",0.28,"2,586,144",5.9,"1,219,877",6.69,"21,301",0.1,"683,982",3.09,-----,-----,"2,126,155",8.24,,,,,"2,548",0.01,"112,680",0.58,"7,451",0.47,"8,182",0.25,-----,-----,"12,080",0.47,"2,021",0.37,"11,370,607",23.11,-----,-----,"9,119",0.04,"1,842,551",0,"4,390",0.37,"59,196",0.86,-----,-----,"468,459",2.54,-----,-----,-----,-----,"202,568",2.3
ANTSEA_057_BEDI.qgd,"1,360",0.02,"793,910",1.8,-----,-----,"23,775",0.28,"2,372,775",5.44,"1,133,817",6.23,"19,962",0.09,"679,983",3.07,-----,-----,"2,081,311",8.06,,,,,"2,380",0.01,"79,151",0.51,"6,059",0.47,"6,789",0.24,-----,-----,"12,960",0.48,"2,455",0.37,"10,587,687",21.53,-----,-----,"7,512",0.03,"2,097,671",0,"4,592",0.37,"40,268",0.77,-----,-----,"386,294",2.18,-----,-----,-----,-----,"198,881",2.27
ANTSEA_058_BEDI.qgd,"1,247",0.02,"1,023,591",2.28,-----,-----,"25,040",0.28,"2,984,249",6.75,"1,368,563",7.49,"27,481",0.12,"725,698",3.28,-----,-----,"2,488,542",9.64,,,,,"4,745",0.02,"102,441",0.56,"9,396",0.48,"9,089",0.25,-----,-----,"12,181",0.47,"3,554",0.38,"10,336,708",21.03,-----,-----,"9,167",0.04,,,"3,662",0.36,"64,385",0.89,-----,-----,"509,326",2.72,-----,-----,-----,-----,"221,928",2.43
ANTSEA_059_HYME.qgd,"2,798",0.03,"256,051",0.7,-----,-----,"63,778",0.36,"4,602,379",10.22,"52,554",0.39,"1,628",0.01,"7,255",0.03,"25,659",0.29,"16,144",0.06,,,,,"18,567",0.07,"206,513",0.79,"152,293",1.26,"61,204",0.48,-----,-----,"192,347",1.29,"21,776",0.47,"10,302,930",20.96,"3,893",0.18,"3,747",0.01,,,"3,838",0.36,"787,077",4.3,-----,-----,"2,783,911",12.8,-----,-----,-----,-----,"2,304",0.94
ANTSEA_060_HYME.qgd,"2,621",0.03,"345,630",0.88,-----,-----,"83,593",0.4,"5,845,825",12.89,"21,451",0.22,776,0,"5,457",0.02,"25,818",0.29,"14,631",0.06,,,,,"15,400",0.06,"184,499",0.74,"241,069",1.74,"75,870",0.55,-----,-----,"227,211",1.44,"31,960",0.52,"10,268,888",20.89,"3,733",0.18,"3,320",0.01,,,"3,614",0.36,"844,724",4.57,-----,-----,"3,200,736",14.64,-----,-----,-----,-----,"1,991",0.94
ANTSEA_061_HYME.qgd,"2,673",0.03,"275,663",0.74,-----,-----,"58,865",0.35,"5,029,486",11.14,"14,356",0.18,738,0,"6,073",0.03,"25,688",0.29,"10,485",0.04,,,,,"12,597",0.05,"170,500",0.71,"172,858",1.37,"82,615",0.58,-----,-----,"247,693",1.54,"17,393",0.44,"10,872,567",22.1,"4,516",0.18,"3,112",0.01,,,"3,585",0.36,"879,324",4.73,-----,-----,"2,580,552",11.9,-----,-----,-----,-----,"1,758",0.94
