Sample,C12:0,C14:0,C14:1w5,C15:0,C16:0,C16:1w7c,C16:2w6,C16:2w6,C17:0,C16:3n4,C16:4w1,C18:0,C18:1w9c,C18:1w7c,C18:1n,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:5w3,C20:0,C20:4w6,C20:4w3,C20:5w3,C22:0,C22:5w3,C22:6w3
IRCO_13F1251_0094_3112020_13.qgd,13979,213209,-----,32181,3345938,66586,-----,2189,9858,1718,1004,151697,174841,29864,-----,101017,13541,9503894,9704,3364,0,3851,449057,-----,2616591,-----,2257,-----
IRCO_14F1320_0095_3112020_21.qgd,7250,117010,-----,12411,1861806,18946,-----,541,6330,1188,931,123774,75922,9173,-----,26453,4057,9590242,2919,3795,0,3896,202457,-----,1063469,-----,1201,-----
PLCA_07F0515_0045_3112020_8.qgd,340145,2097984,-----,159508,9446872,214064,18107,41616,50086,47106,140135,879359,108313,49754,-----,147300,69877,10574541,67182,204656,0,111393,2264572,21656,7922215,77211,-----,67891
PLCA_07F0528_0114_3112020_19.qgd,420634,2449506,-----,160906,10450867,137552,21280,25291,52698,27458,37266,703270,95284,56534,-----,65365,51441,9850595,-----,34667,0,134031,2819423,40732,8796589,144006,18207,11157
PLCA_09F0718_0077_3112020_23.qgd,335809,2401130,-----,103498,10363915,1900135,30933,224913,37018,423857,505530,457892,149659,82628,-----,163549,60082,10213185,111982,308861,0,88114,2386225,40322,7631620,128047,4263,115481
PLCA_11F0973_0118_3112020_18.qgd,384352,2168459,-----,110308,9396829,111640,-----,15110,43548,19051,21930,510263,61434,70614,-----,45399,28042,10543343,14402,11993,0,109441,2296922,31547,6979945,297320,15818,313
PLCA_12F1112_0119_3112020_16.qgd,365517,2169294,-----,115391,8652658,137859,-----,15485,39126,25960,49917,510412,61792,53460,-----,98265,34399,9513572,23292,63426,0,105009,2629105,27415,6131524,201403,4429,5583
PLCA_15F1415_0113_3112020_15.qgd,176819,1232247,-----,87683,5614014,48031,6672,8046,28384,5442,17788,374502,37750,23796,-----,31261,16489,9368497,3772,15063,0,57554,1539419,10001,4271224,287375,2532,14924
DEME_03F0188_0061_3232020_24.qgd,15882,4484834,26935,117361,11210342,191089,9889,203563,74936,51815,42405,1143815,3245474,51928,73506,2022794,177979,13673478,3673655,5340350,0,703091,8748915,494632,6900616,13042,-----,5815
DEME_04F0247_0062_3232020_10.qgd,13876,3968994,18114,126589,10292014,584342,38728,421980,50964,820688,711952,816974,2501252,23139,44188,1807275,159634,12222360,2782542,4832928,0,485748,5741749,386420,8026076,8875,-----,73079
