sample,batch,FA,proportion
TRAN_11F0994_0199,batch_6,14:1,0
TRAN_11F0994_0199,batch_6,14:1w5,0
TRAN_11F0994_0199,batch_6,i-15:0,0
TRAN_11F0994_0199,batch_6,a-15:0,0
TRAN_11F0994_0199,batch_6,15:0,0.00294748545594839
TRAN_11F0994_0199,batch_6,15:1w7,0
TRAN_11F0994_0199,batch_6,15:1w5,0
TRAN_11F0994_0199,batch_6,i-16:0,0
TRAN_11F0994_0199,batch_6,16:0,0.255181681947013
TRAN_11F0994_0199,batch_6,16:1w13,0
TRAN_11F0994_0199,batch_6,16:1w9,0
TRAN_11F0994_0199,batch_6,16:1w7t,0
TRAN_11F0994_0199,batch_6,16:1w8c,0
TRAN_11F0994_0199,batch_6,16:1w7c,0.0077545216892041
TRAN_11F0994_0199,batch_6,16:1w6c,0
TRAN_11F0994_0199,batch_6,16:1w5t,0
TRAN_11F0994_0199,batch_6,16:1w5c,0
TRAN_11F0994_0199,batch_6,16:2w6,0
TRAN_11F0994_0199,batch_6,14:4w3,0
TRAN_11F0994_0199,batch_6,i-17:0,0
TRAN_11F0994_0199,batch_6,a-17:0,0
TRAN_11F0994_0199,batch_6,16:2w5,0
TRAN_11F0994_0199,batch_6,16:2w4,0
TRAN_11F0994_0199,batch_6,17:0,0.00105146056802767
TRAN_11F0994_0199,batch_6,16:3w4,0
TRAN_11F0994_0199,batch_6,16:3w3,0
TRAN_11F0994_0199,batch_6,17:1w9c,0.000452153198810944
TRAN_11F0994_0199,batch_6,17:1w7c,0
TRAN_11F0994_0199,batch_6,16:4w3,0
TRAN_11F0994_0199,batch_6,16:4w1,0
TRAN_11F0994_0199,batch_6,17:2,0
TRAN_11F0994_0199,batch_6,18:0,0.00743631651730099
TRAN_11F0994_0199,batch_6,18:1w9t,0
TRAN_11F0994_0199,batch_6,18:1w9c,0.0149374060241396
TRAN_11F0994_0199,batch_6,18:1w8c,0
TRAN_11F0994_0199,batch_6,18:1w7c,0
TRAN_11F0994_0199,batch_6,18:1w5c,0
TRAN_11F0994_0199,batch_6,18:1w6c,0
TRAN_11F0994_0199,batch_6,"18:2w7,12c",0
TRAN_11F0994_0199,batch_6,18:2w6t,0
TRAN_11F0994_0199,batch_6,18:2w6c,0.0037134417788298
TRAN_11F0994_0199,batch_6,18:2w3,0
TRAN_11F0994_0199,batch_6,18:2,0
TRAN_11F0994_0199,batch_6,18:3w6,0.00104391420031456
TRAN_11F0994_0199,batch_6,18:3w4,0
TRAN_11F0994_0199,batch_6,19:0,0.219722557791027
TRAN_11F0994_0199,batch_6,18:3w3,0
TRAN_11F0994_0199,batch_6,18:3w1,0
TRAN_11F0994_0199,batch_6,18:4w3c,0
TRAN_11F0994_0199,batch_6,18:4w1,0
TRAN_11F0994_0199,batch_6,18:5w3,0
TRAN_11F0994_0199,batch_6,20:0,0
TRAN_11F0994_0199,batch_6,20:1w11,0
TRAN_11F0994_0199,batch_6,20:1w9,0
TRAN_11F0994_0199,batch_6,20:1w7,0
TRAN_11F0994_0199,batch_6,20:1w5,0
TRAN_11F0994_0199,batch_6,20:2w6,0
TRAN_11F0994_0199,batch_6,20:3n7,0
TRAN_11F0994_0199,batch_6,20:3w6,0.000818152032897132
TRAN_11F0994_0199,batch_6,20:4w6,0.503787333296021
TRAN_11F0994_0199,batch_6,20:3w3,0
TRAN_11F0994_0199,batch_6,20:4w3,0
TRAN_11F0994_0199,batch_6,20:5w3,0.176424644173041
TRAN_11F0994_0199,batch_6,21:0,0
TRAN_11F0994_0199,batch_6,22:0,0
TRAN_11F0994_0199,batch_6,22:1w9c,0
TRAN_11F0994_0199,batch_6,22:1w7c,0
TRAN_11F0994_0199,batch_6,22:2w6,0
TRAN_11F0994_0199,batch_6,21:5w3,0
TRAN_11F0994_0199,batch_6,23:0,0
TRAN_11F0994_0199,batch_6,22:4w6,0
TRAN_11F0994_0199,batch_6,22:5w6,0
TRAN_11F0994_0199,batch_6,22:3w6,0
TRAN_11F0994_0199,batch_6,22:6w4,0
TRAN_11F0994_0199,batch_6,22:5w3,0
TRAN_11F0994_0199,batch_6,22:6w3,0.000410648176388799
TRAN_11F0994_0199,batch_6,24:0,9.55873243661523E-05
TRAN_11F0994_0199,batch_6,24:1,0
TRAN_11F0994_0199,batch_6,24:1w9,0.00150990240659955
TRAN_11F0994_0199,batch_6,24:1w7,0
TRAN_11F0994_0199,batch_6,26:0,0
TRAN_11F0994_0199,batch_6,26:4w2,0
TRAN_11F0994_0199,batch_6,27:0,0
TRAN_11F0994_0199,batch_6,28:0,0
TRAN_11F0994_0199,batch_6,29:0,0
